numero,code,nom,email,ville,store_link,commission_rate,total_earnings,status,niveau
#146,AFF-146-J48G,Léa André,léa.andré650@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-146-J48G,20.0,56.0,active,Débutant
#147,AFF-147-2K2M,Alice Dupont,alice.dupont76@gmail.com,Nantes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-147-2K2M,20.0,24.0,active,Débutant
#148,AFF-148-GJJO,Antoine Morel,antoine.morel381@gmail.com,Montpellier,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-148-GJJO,20.0,24.0,active,Débutant
#149,AFF-149-OT2P,Victor Martinez,victor.martinez697@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-149-OT2P,20.0,8.0,active,Débutant
#150,AFF-150-R82W,Julie André,julie.andré637@gmail.com,Lille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-150-R82W,20.0,8.0,active,Débutant
#151,AFF-151-8Y17,Louise François,louise.françois614@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-151-8Y17,20.0,112.0,active,Intermédiaire
#152,AFF-152-WJTW,Nathan Girard,nathan.girard544@gmail.com,Le Havre,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-152-WJTW,20.0,72.0,active,Débutant
#153,AFF-153-7QN5,Camille Thomas,camille.thomas329@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-153-7QN5,20.0,88.0,active,Débutant
#154,AFF-154-7VGI,Jules Bonnet,jules.bonnet395@gmail.com,Nîmes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-154-7VGI,20.0,24.0,active,Débutant
#155,AFF-155-P8ZW,Lola Martin,lola.martin272@gmail.com,Reims,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-155-P8ZW,20.0,56.0,active,Débutant
#156,AFF-156-74T0,Adam Girard,adam.girard211@gmail.com,Bordeaux,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-156-74T0,20.0,32.0,active,Débutant
#157,AFF-157-GHU0,Clara Petit,clara.petit640@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-157-GHU0,20.0,16.0,active,Débutant
#158,AFF-158-1T0S,Chloé Richard,chloé.richard337@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-158-1T0S,20.0,120.0,active,Intermédiaire
#159,AFF-159-MPKX,Sarah Thomas,sarah.thomas769@gmail.com,Montpellier,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-159-MPKX,20.0,88.0,active,Débutant
#160,AFF-160-XMYQ,Raphaël Garcia,raphaël.garcia931@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-160-XMYQ,20.0,72.0,active,Débutant
#161,AFF-161-HAOY,Adam Petit,adam.petit162@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-161-HAOY,20.0,112.0,active,Intermédiaire
#162,AFF-162-THT3,Camille Bertrand,camille.bertrand647@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-162-THT3,20.0,64.0,active,Débutant
#163,AFF-163-FSOH,Zoé Robert,zoé.robert85@gmail.com,Nîmes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-163-FSOH,20.0,56.0,active,Débutant
#164,AFF-164-2EWP,Camille Thomas,camille.thomas971@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-164-2EWP,20.0,80.0,active,Débutant
#165,AFF-165-V3N4,Léa Laurent,léa.laurent77@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-165-V3N4,20.0,40.0,active,Débutant
#166,AFF-166-4HJB,Louise Legrand,louise.legrand540@gmail.com,Rennes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-166-4HJB,20.0,24.0,active,Débutant
#167,AFF-167-VS2O,Mathis Lambert,mathis.lambert242@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-167-VS2O,20.0,56.0,active,Débutant
#168,AFF-168-E1RW,Sarah Mercier,sarah.mercier332@gmail.com,Strasbourg,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-168-E1RW,20.0,8.0,active,Débutant
#169,AFF-169-MKD2,Alex Lefebvre,alex.lefebvre503@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-169-MKD2,20.0,48.0,active,Débutant
#170,AFF-170-GC0X,Tom Bernard,tom.bernard332@gmail.com,Orléans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-170-GC0X,20.0,16.0,active,Débutant
#171,AFF-171-MYPC,Jules Martinez,jules.martinez99@gmail.com,Saint-Denis,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-171-MYPC,20.0,40.0,active,Débutant
#172,AFF-172-FFQC,Antoine Petit,antoine.petit814@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-172-FFQC,20.0,40.0,active,Débutant
#173,AFF-173-FQEP,Alex Garcia,alex.garcia593@gmail.com,Boulogne-Billancourt,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-173-FQEP,20.0,16.0,active,Débutant
#174,AFF-174-RW1B,Lisa Robert,lisa.robert210@gmail.com,Strasbourg,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-174-RW1B,20.0,72.0,active,Débutant
#175,AFF-175-O7B6,Alexandre Bonnet,alexandre.bonnet427@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-175-O7B6,20.0,8.0,active,Débutant
#176,AFF-176-IXD9,Alexandre Bonnet,alexandre.bonnet790@gmail.com,Toulon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-176-IXD9,20.0,48.0,active,Débutant
#177,AFF-177-8IOI,Alice Fournier,alice.fournier395@gmail.com,Metz,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-177-8IOI,20.0,160.0,active,Intermédiaire
#178,AFF-178-C8JM,Rose Simon,rose.simon291@gmail.com,Saint-Étienne,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-178-C8JM,20.0,8.0,active,Débutant
#179,AFF-179-1377,Nicolas Faure,nicolas.faure184@gmail.com,Clermont-Ferrand,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-179-1377,20.0,40.0,active,Débutant
#180,AFF-180-3M3U,Louise Mercier,louise.mercier14@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-180-3M3U,20.0,16.0,active,Débutant
#181,AFF-181-BB5A,Nicolas Lefebvre,nicolas.lefebvre336@gmail.com,Le Mans,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-181-BB5A,20.0,128.0,active,Intermédiaire
#182,AFF-182-XSUT,Théo Martinez,théo.martinez563@gmail.com,Nice,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-182-XSUT,20.0,16.0,active,Débutant
#183,AFF-183-3RWH,Marie Leroy,marie.leroy883@gmail.com,Dijon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-183-3RWH,20.0,168.0,active,Intermédiaire
#184,AFF-184-EP2D,Lola Roux,lola.roux754@gmail.com,Paris,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-184-EP2D,20.0,16.0,active,Débutant
#185,AFF-185-J8V8,Antoine Robert,antoine.robert255@gmail.com,Reims,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-185-J8V8,20.0,104.0,active,Intermédiaire
#186,AFF-186-2272,Théo David,théo.david370@gmail.com,Brest,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-186-2272,20.0,56.0,active,Débutant
#187,AFF-187-8HHM,Jade Bertrand,jade.bertrand698@gmail.com,Montpellier,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-187-8HHM,20.0,40.0,active,Débutant
#188,AFF-188-5NLW,Julien Roux,julien.roux800@gmail.com,Nantes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-188-5NLW,20.0,112.0,active,Intermédiaire
#189,AFF-189-6UW7,Camille Garcia,camille.garcia925@gmail.com,Le Havre,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-189-6UW7,20.0,8.0,active,Débutant
#190,AFF-190-S9XT,Benjamin Faure,benjamin.faure199@gmail.com,Rennes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-190-S9XT,20.0,32.0,active,Débutant
#191,AFF-191-ZJ8A,Inès Petit,inès.petit683@gmail.com,Bordeaux,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-191-ZJ8A,20.0,72.0,active,Débutant
#192,AFF-192-GHAC,Marie Simon,marie.simon396@gmail.com,Limoges,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-192-GHAC,20.0,8.0,active,Débutant
#193,AFF-193-C1XZ,Zoé Garnier,zoé.garnier265@gmail.com,Lyon,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-193-C1XZ,20.0,32.0,active,Débutant
#194,AFF-194-493B,Julien Girard,julien.girard786@gmail.com,Tours,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-194-493B,20.0,64.0,active,Débutant
#195,AFF-195-TLP2,Emma Michel,emma.michel553@gmail.com,Grenoble,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-195-TLP2,20.0,8.0,active,Débutant
#196,AFF-196-GK4H,Laura Dubois,laura.dubois128@gmail.com,Amiens,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-196-GK4H,20.0,0.0,active,Débutant
#197,AFF-197-IY1X,Chloé André,chloé.andré32@gmail.com,Le Havre,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-197-IY1X,20.0,56.0,active,Débutant
#198,AFF-198-WY77,Alex Bonnet,alex.bonnet960@gmail.com,Nantes,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-198-WY77,20.0,24.0,active,Débutant
#199,AFF-199-RJYM,Raphaël André,raphaël.andré160@gmail.com,Aix-en-Provence,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-199-RJYM,20.0,0.0,active,Débutant
#200,AFF-200-2VHD,Margot David,margot.david528@gmail.com,Marseille,https://rapid-sales-system.preview.emergentagent.com/store?ref=AFF-200-2VHD,20.0,0.0,active,Débutant
